,token,lemma,POS,frequency(M),frequency(F),Mean frequency(M),Mean frequency(F),Chi2,p-value(Chi2),LL,p-value(LL),Welch's t,p-value(Welch's t)
0,It,-PRON-,PRON,1032,2370,0.6893787575150301,0.7348837209302326,1.4661880663125655,0.22594809533968266,1.4745067749065583,0.2246359701208719,-1.556454842173304,0.11966701671267123
1,us,-PRON-,PRON,375,553,0.250501002004008,0.17147286821705426,35.24112817915726,2.913061147546585e-09,33.72052260000754,6.362589069753736e-09,4.427871315540356,9.731752929990598e-06
2,it,-PRON-,PRON,3594,8257,2.400801603206413,2.5603100775193797,5.275100169869182,0.021632543195048256,5.305221339083914,0.02126159800745532,-2.2656174939690668,0.02351992564081762
3,they,-PRON-,PRON,1282,2913,0.8563794255177021,0.9032558139534884,1.0695928898639644,0.3010374204355769,1.0742329156585129,0.2999912840309189,-1.0149558490740704,0.31017889703185764
4,you,-PRON-,PRON,472,902,0.3152972611890448,0.27968992248062013,5.749760390845869,0.016490905851950795,5.656330087957016,0.017392478766686845,0.9361977522948448,0.3492192765924734
5,I,-PRON-,PRON,1475,2968,0.9853039412157648,0.9203100775193799,7.21989674245473,0.007209985501900849,7.145284946280668,0.007516133111844168,1.3351046877044443,0.18190647266276608
6,we,-PRON-,PRON,1494,2395,0.9979959919839679,0.7426356589147287,90.54570563020444,1.8075290961407025e-21,87.37419609389167,8.981463842897184e-21,5.465275618499774,4.8596705502086466e-08
7,ourselves,-PRON-,PRON,7,29,0.004676018704074816,0.008992248062015503,1.8384675293619646,0.17513066842614444,1.9818140867261684,0.15919942689867883,-1.544117031061711,0.12262702264152571
8,them,-PRON-,PRON,727,1504,0.48563794255177023,0.46635658914728684,1.617404712680951,0.2034540433904175,1.6060554443908472,0.20504717264268077,0.7010397967845817,0.4833127381022374
9,she,-PRON-,PRON,69,182,0.04609218436873747,0.056434108527131786,1.5329181070251285,0.21567501670225633,1.5678308045716172,0.21052231330028176,-1.0396240406953212,0.2985678543109608
10,he,-PRON-,PRON,242,526,0.16165664662658652,0.16310077519379845,0.006154142017861597,0.9374714223759664,0.006149480711450828,0.9374950587237726,-0.07655848656494785,0.938978029682711
11,They,-PRON-,PRON,223,536,0.14896459585838343,0.1662015503875969,1.2296619818834564,0.26747278461419577,1.2435101395431971,0.2647956351813189,-1.145498316379323,0.25206086806514516
12,him,-PRON-,PRON,67,140,0.0447561790247161,0.043410852713178294,0.06338538544655653,0.8012230647301657,0.06309279202861351,0.8016727927285273,0.1575386335650456,0.8748271014502668
13,her,-PRON-,PRON,11,41,0.007348029392117568,0.012713178294573644,2.045585977266915,0.15264819688687326,2.1809867328943273,0.13972485434046458,-1.45741602920054,0.14506810035938275
14,She,-PRON-,PRON,10,7,0.006680026720106881,0.0021705426356589145,4.770743396260179,0.02894732364202249,4.3641385668565285,0.03670303587921759,1.9093659955516753,0.05627546357538339
15,We,-PRON-,PRON,224,346,0.14963259853039412,0.10728682170542636,16.51619708038752,4.823625409639399e-05,15.878419274060334,6.754454184187308e-05,3.407301171454888,0.0006615716841965782
16,You,-PRON-,PRON,27,41,0.018036072144288578,0.012713178294573644,1.8533036504069555,0.17339964863806018,1.7834969282550155,0.18172050943373522,1.1752546920409457,0.23995211633847496
17,me,-PRON-,PRON,144,219,0.09619238476953908,0.06790697674418604,11.3933502974622,0.0007370747632482377,10.93834772276061,0.0009419413265381796,2.8235757439874822,0.004769021152979961
18,herself,-PRON-,PRON,5,14,0.0033400133600534404,0.004341085271317829,0.04947296442286534,0.8239829053923812,0.05018795253201225,0.8227365445783085,-0.5055446311525575,0.6131999657556453
19,yourself,-PRON-,PRON,31,62,0.020708082832331328,0.019224806201550388,0.0949224255079283,0.7580101735567931,0.09413393430957173,0.7589860632716047,0.26859753002458414,0.7882511517976323
20,'s,-PRON-,PRON,19,11,0.012692050768203072,0.0034108527131782944,12.849677535087972,0.0003375374054012584,11.659600213033594,0.0006387206552138372,3.739845628422778,0.00018631654500323285
21,He,-PRON-,PRON,19,37,0.012692050768203072,0.011472868217054264,0.07717713991654884,0.781159949991379,0.07643602854725495,0.78218658792895,0.3263879782707521,0.7441453026358682
22,themselves,-PRON-,PRON,85,212,0.05678022712090848,0.06573643410852713,0.8808968836171202,0.34795614788411233,0.8945292153063562,0.34425287765141577,-1.0483107991063496,0.29454911082505164
23,himself,-PRON-,PRON,33,50,0.022044088176352707,0.015503875968992248,2.3733513954827186,0.12342183201928993,2.282139510458233,0.13087122814381028,1.4550542936679234,0.14572073082684156
24,theirs,-PRON-,PRON,2,3,0.0013360053440213762,0.0009302325581395349,0.004013698331471316,0.9494848110256604,0.004045149968677275,0.9492875425532621,0.398858686034665,0.6900153754750984
25,itself,-PRON-,PRON,38,37,0.025384101536406144,0.011472868217054264,12.174532721268662,0.0004844643461891477,11.28191381898769,0.0007826583130865345,3.1928300951875843,0.0014181113407243991
26,myself,-PRON-,PRON,7,15,0.004676018704074816,0.004651162790697674,0.031991543947179804,0.8580462172307715,0.03233240827447592,0.8573000469806207,0.010729625647997428,0.9914396150705023
27,i,-PRON-,PRON,5,3,0.0033400133600534404,0.0009302325581395349,2.3127739201898954,0.12831488069522468,2.114277267995172,0.1459309319556471,1.8738982494276046,0.06100618313455861
28,is,be,VERB,6822,14477,4.557114228456914,4.488992248062016,4.951132236617411,0.02607358729344548,4.931700014585658,0.02636836494005951,0.6890355950303145,0.49083473616696793
29,be,be,VERB,2647,6583,1.7682030728122913,2.0412403100775194,29.47536145430886,5.663208659901019e-08,29.94494764702307,4.4448856751967254e-08,-4.0363205051736575,5.5155978630496494e-05
30,are,be,VERB,2848,6414,1.9024716098864396,1.9888372093023257,1.3365434595768448,0.24764445710473182,1.3408608985984358,0.2468822040738164,-1.3064502289767745,0.1914631494875447
31,was,be,VERB,1041,2810,0.6953907815631263,0.8713178294573644,32.534507839174914,1.170948243863042e-08,33.41568480689051,7.442134270767906e-09,-3.5688522298627303,0.00036211310189784775
32,being,be,VERB,134,286,0.0895123580494322,0.08868217054263566,0.043438066664816276,0.8349025955622968,0.043320694070373644,0.83512259191852,0.07320475561994709,0.9416462839744804
33,were,be,VERB,466,1073,0.31128924515698064,0.33271317829457364,0.717532175519013,0.39695459526970733,0.7217795773721463,0.3955607952280288,-0.792247649711922,0.4282561048947876
34,'re,be,VERB,3,0,0.002004008016032064,0.0,3.7743509801677466,0.05204408771745188,3.4777744064377485,0.06219833948318102,2.5442407020039135,0.010983153999783194
35,be,be,VERB,9,11,0.006012024048096192,0.0034108527131782944,1.163497070268066,0.28074145778067805,1.1039524773419664,0.2934003341444339,1.2208088521951008,0.22221938242812003
36,been,be,VERB,157,319,0.10487641950567803,0.09891472868217054,0.5412394703779071,0.4619195032386557,0.5365049674619708,0.463884801485723,0.5097856790494378,0.6102254544104622
37,Is,be,VERB,15,25,0.01002004008016032,0.007751937984496124,0.45309587208902247,0.5008684288272559,0.4414493732610443,0.5064237329513139,0.7719836483096123,0.44016276126202936
38,'s,be,VERB,119,179,0.07949231796927188,0.05550387596899225,9.89270843561804,0.0016593495859978584,9.48831729934826,0.0020678438604564407,2.1018262818086377,0.035621356428388845
39,'m,be,VERB,13,18,0.008684034736138945,0.005581395348837209,1.1696503189283542,0.27947310219614907,1.1192395705291363,0.2900822529967465,1.1556034040923717,0.24790190808163415
40,am,be,VERB,83,190,0.055444221776887105,0.05891472868217054,0.06722255739899412,0.7954245077015236,0.06751041426858562,0.7949967118879158,-0.41517396184118144,0.6780334294032662
41,’m,be,VERB,19,25,0.012692050768203072,0.007751937984496124,2.3558381243377267,0.12481478691333171,2.2390959597089886,0.134559631462965,1.4061280341219358,0.15975193639238278
42,Are,be,VERB,0,9,0.0,0.0027906976744186047,2.77632799008888,0.09566727965455099,3.684620813091281,0.054916457164016635,-2.046360493305589,0.04077620215556103
43,’re,be,VERB,7,11,0.004676018704074816,0.0034108527131782944,0.19258412358139962,0.6607745204305752,0.18775886866095193,0.6647884740675357,0.5681489516515517,0.5699608570306705
44,Being,be,VERB,1,5,0.0006680026720106881,0.0015503875968992248,0.11120889790636322,0.7387719981274893,0.1159122548989745,0.733510977595563,-0.7919014971430933,0.42845790923863547
45,IS,be,VERB,0,25,0.0,0.007751937984496124,9.987963581127842,0.0015756675974799774,14.664494742179992,0.0001284430940723931,-1.1066174685104742,0.26851574702225683
46,BE,be,VERB,0,8,0.0,0.00248062015503876,2.33657552567143,0.12636707913295603,3.0547773903698436,0.08050002557347685,-0.8618303790335545,0.38882464632060665
47,WERE,be,VERB,0,4,0.0,0.00124031007751938,0.6582803870950831,0.4171676884744542,0.7763084331337322,0.3782725352998175,-0.8618303790335545,0.38882464632060665
48,widely,widely,ADV,34,80,0.022712090848363394,0.024806201550387597,0.05851352336544322,0.808860992223207,0.05887796583962457,0.8082782309689982,-0.4110608967001967,0.6810465433638774
49,known,know,VERB,56,164,0.03740814963259853,0.050852713178294574,3.2440279149860545,0.07168420162794929,3.364385567846959,0.0666204312954302,-1.8770921397024052,0.06056709807835745
50,know,know,VERB,78,168,0.052104208416833664,0.052093023255813956,0.004131398549590229,0.948750498004922,0.004126871181599601,0.9487785478013633,0.001435012534783439,0.998855086690188
51,know,know,VERB,49,140,0.032732130928523714,0.043410852713178294,2.306300271695763,0.12885041532739874,2.383205827050407,0.1226456301543837,-1.584036924234596,0.11325231050829802
52,knows,know,VERB,20,53,0.013360053440213761,0.016434108527131782,0.3544525836307667,0.5516033881409372,0.3615871194603608,0.5476261085788456,-0.7204359680759578,0.4712922870285461
53,knowing,know,VERB,4,21,0.0026720106880427524,0.0065116279069767444,2.060336076976133,0.15117682487629142,2.280814883444952,0.13098303775774048,-1.6919443124058053,0.09072259834009005
54,knew,know,VERB,2,9,0.0013360053440213762,0.0027906976744186047,0.377076209432418,0.5391721681736645,0.40001677819072334,0.527080592037964,-0.9647345392047912,0.3347272149791901
55,known,know,VERB,1,3,0.0006680026720106881,0.0009302325581395349,0.07116809410598467,0.7896435679066302,0.0689346901394331,0.7928942310025453,-0.2881534351871095,0.7732419430538416
56,Knowing,know,VERB,1,2,0.0006680026720106881,0.00062015503875969,0.2992472856846057,0.5843546902274551,0.33586040454318455,0.5622284770090515,0.06070462394226453,0.9515970191751798
57,that,that,ADP,3635,8071,2.428189712758851,2.5026356589147287,0.3565689762221763,0.5504179405959317,0.35709301367754165,0.5501251505681217,-1.1350192271903918,0.25642489656473855
58,That,that,ADP,1,3,0.0006680026720106881,0.0009302325581395349,0.07116809410598467,0.7896435679066302,0.0689346901394331,0.7928942310025453,-0.2881534351871095,0.7732419430538416
59,music,music,NOUN,206,664,0.13760855043420173,0.20589147286821705,23.215816715501305,1.448014797756694e-06,24.429904412510155,7.706315187634496e-07,-2.6108204542868783,0.009061096256416771
60,Music,music,NOUN,4,9,0.0026720106880427524,0.0027906976744186047,0.06587934647190288,0.797433746577964,0.06470669524657979,0.7992057800523205,-0.06740004414181681,0.946266088804365
61,musics,music,NOUN,2,9,0.0013360053440213762,0.0027906976744186047,0.377076209432418,0.5391721681736645,0.40001677819072334,0.527080592037964,-0.8872538709234356,0.3749874412595059
62,labels,label,NOUN,7,6,0.004676018704074816,0.0018604651162790699,2.1103949284893972,0.14630155659619878,1.9556393724680898,0.16198044852283766,1.4206039289760588,0.1554979893481208
63,label,label,NOUN,2,2,0.0013360053440213762,0.00062015503875969,0.0711660993371736,0.7896464466919003,0.06893279682102205,0.7928970103895325,0.7866625540225383,0.4315189241816746
64,and,and,CCONJ,9364,21291,6.255177020708083,6.601860465116279,8.15702953655044,0.004289457012328695,8.192054069060646,0.00420742588849549,-3.296204259013138,0.0009872496871612825
65,And,and,CCONJ,393,610,0.2625250501002004,0.18914728682170542,28.48045231597216,9.464927955295557e-08,27.390697887968543,1.6622891854027808e-07,4.0572626541308825,5.0453294738814456e-05
66,AND,and,CCONJ,0,26,0.0,0.00806201550387597,10.44206564240721,0.0012317743755194768,15.376113232634344,8.809492906509047e-05,-1.0403642226837342,0.29822400439803437
67,film,film,NOUN,156,459,0.10420841683366733,0.14232558139534884,9.837102149083112,0.0017102671699023321,10.219206812691993,0.0013898561096821994,-1.7209452794051532,0.08532628787343267
68,films,film,NOUN,159,740,0.1062124248496994,0.22945736434108527,76.94742250940176,1.7557031156102384e-18,85.39464000107941,2.4438215593207042e-20,-3.9633816496951177,7.498733671334516e-05
69,Films,film,NOUN,1,4,0.0006680026720106881,0.00124031007751938,0.004013201457863536,0.9494879336918634,0.004044647325051248,0.9492906891282429,-0.5625650448886043,0.5737578170472637
70,Film,film,NOUN,2,2,0.0013360053440213762,0.00062015503875969,0.0711660993371736,0.7896464466919003,0.06893279682102205,0.7928970103895325,0.6422025041668642,0.5207728963334309
71,makers,maker,NOUN,17,30,0.011356045424181697,0.009302325581395349,0.31426808101477577,0.575072853817173,0.3079096095339371,0.578965774171595,0.5297518510059985,0.5963089088299047
72,maker,maker,NOUN,2,4,0.0013360053440213762,0.00124031007751938,0.11121163717644908,0.7387688984002831,0.11591515322434787,0.7335077726587498,0.08587663746049962,0.9315681259242956
73,lose,lose,VERB,27,87,0.018036072144288578,0.026976744186046512,2.7406508366584963,0.09782491694463524,2.875497889866395,0.08993715528462297,-1.7416799108408307,0.08162961434042931
74,lost,lose,VERB,19,29,0.012692050768203072,0.008992248062015503,1.1657699436510391,0.28027211101371063,1.1239474215040417,0.2890700569967227,0.9749356313016502,0.32964215214308956
75,lost,lose,VERB,14,15,0.009352037408149633,0.004651162790697674,3.130538673644078,0.07683834730937339,2.9296350903381327,0.08696714753582455,1.803142795971201,0.07142954230558979
76,lose,lose,VERB,39,96,0.026052104208416832,0.029767441860465118,0.26494494062069274,0.6067430863319025,0.2682452826454309,0.6045112875799595,-0.6351465451211746,0.5253636306702385
77,losing,lose,VERB,9,20,0.006012024048096192,0.006201550387596899,0.02814137589512034,0.8667768793464516,0.02791324117639382,0.8673129544221908,-0.07499355046721211,0.9402230215054442
78,loses,lose,VERB,2,10,0.0013360053440213762,0.0031007751937984496,0.6128324067028881,0.4337233477753051,0.6606167960617713,0.4163422755110412,-1.0373632181387962,0.2996197534799119
79,losed,lose,VERB,0,4,0.0,0.00124031007751938,0.6582803870950831,0.4171676884744542,0.7763084331337322,0.3782725352998175,-1.3631810536669053,0.1728904778981242
80,a,a,DET,4306,10078,2.876419505678023,3.1249612403100775,12.488366963599772,0.0004094939994047382,12.588545775011994,0.00038811801098619846,-2.6132869347531917,0.00899605424330939
81,A,a,DET,87,212,0.05811623246492986,0.06573643410852713,0.5839012560624444,0.44478720311764763,0.5911545288836422,0.44197301652170196,-0.8897005067878102,0.3736720645151459
82,great,great,ADJ,173,493,0.11556446225784903,0.15286821705426357,8.572250553468855,0.003413249889147476,8.866649006415841,0.0029042777764525045,-2.8571334675522304,0.004293557183366884
83,greatest,great,ADJ,27,61,0.018036072144288578,0.01891472868217054,0.00016708293597487785,0.9896867863016197,0.00016714480988461178,0.989684876997601,-0.19870588235439404,0.8425013805009283
84,greater,great,ADJ,14,45,0.009352037408149633,0.013953488372093023,1.2452091517249724,0.26446947991537767,1.3019839120945749,0.2538511570169775,-1.2236447500929206,0.22114735116328146
85,Great,great,ADJ,1,6,0.0006680026720106881,0.0018604651162790699,0.31803335583930953,0.5727919299031987,0.3410618148832383,0.5592169625665919,-0.9909386590364878,0.32176632947583306
86,deal,deal,NOUN,22,33,0.014696058784235137,0.010232558139534883,1.5464967813665196,0.21365335686425083,1.4874767609751682,0.22260836767464415,1.1861101453446432,0.23563850715351245
87,deals,deal,NOUN,11,11,0.007348029392117568,0.0034108527131782944,2.7554775069286075,0.0969218752126417,2.5695214431555238,0.10894068380210857,1.7000929732852286,0.08917932098361003
88,of,of,ADP,12772,27615,8.531730126920507,8.56279069767442,1.732802279075591,0.1880534159219297,1.7299234258744889,0.1884206770720081,-0.2257208699136725,0.821428297848551
89,OF,of,ADP,0,20,0.0,0.006201550387596899,7.720130470958252,0.005460844971819556,11.134020569703358,0.0008475867280185674,-0.9784126375559798,0.3279204244183018
90,money,money,NOUN,450,1338,0.30060120240480964,0.41488372093023257,31.076499611721243,2.480565138062065e-08,32.34088684697505,1.2936247899292483e-08,-3.5371304894639684,0.0004083886900042151
91,Money,money,NOUN,6,5,0.004008016032064128,0.0015503875968992248,1.7857226779799145,0.1814481817885354,1.6547747151077794,0.19831031072275976,1.6301678020952155,0.10313276078765592
92,every,every,DET,347,746,0.23179692718770875,0.23131782945736434,0.07633498643324362,0.7823269727421478,0.07616531941219051,0.7825629280229168,0.02584729962076714,0.9793802274584698
93,Every,every,DET,43,77,0.028724114896459586,0.023875968992248062,0.9389955196457406,0.33253630224115,0.918580485404668,0.33784796667721784,0.9237486261270165,0.35566442835025003
94,year,year,NOUN,519,1005,0.3466933867735471,0.3116279069767442,5.190495495759466,0.022710740242898028,5.113939397007968,0.02373436968017176,1.2114852285838584,0.2257701405851388
95,years,year,NOUN,731,1745,0.48830995323981297,0.5410852713178295,3.6006056034695915,0.0577585268911985,3.638861036468768,0.05644553636888311,-1.351847397115714,0.17648891338561853
96,from,from,ADP,1881,4588,1.2565130260521042,1.4226356589147287,14.867932287798258,0.00011530660760855339,15.067673010993076,0.00010372449952634688,-3.253085756748266,0.0011496249346704193
97,FROM,from,ADP,0,4,0.0,0.00124031007751938,0.6582803870950831,0.4171676884744542,0.7763084331337322,0.3782725352998175,-0.8618303790335545,0.38882464632060665
98,illegal,illegal,ADJ,213,543,0.14228456913827656,0.16837209302325581,3.3176610091502203,0.06853927665757595,3.3808669049040603,0.06595735393559861,-1.0593991671860314,0.28947223838273495
99,Illegal,illegal,ADJ,2,6,0.0013360053440213762,0.0018604651162790699,1.5190356449594964e-05,0.9968902681306456,1.5195915333549373e-05,0.9968896991851477,-0.4076869451804992,0.6835220130075927
100,copying,copying,NOUN,45,97,0.03006012024048096,0.03007751937984496,3.8149284060458597e-05,0.9950718888305305,3.8144039605073066e-05,0.995072227576322,-0.0020438321666923862,0.9983693453766053
101,Copying,copying,NOUN,0,6,0.0,0.0018604651162790699,1.4732131986622516,0.2248394068579647,1.850926530163282,0.1736756718625591,-1.6700675782727266,0.0949723000813912
102,free,free,ADJ,161,429,0.10754843019372078,0.1330232558139535,4.258611023568036,0.03905183968182859,4.36479106867008,0.036688982045843505,-1.6519479662841183,0.09861167538460751
103,internet,internet,NOUN,118,167,0.0788243152972612,0.05178294573643411,13.020384118000566,0.0003081186082304639,12.414533125449168,0.0004260055029691213,2.078202551899697,0.037744617169310025
104,Internet,internet,NOUN,167,425,0.11155644622578491,0.13178294573643412,2.509143540245973,0.11318743106509292,2.556073301577868,0.10987117582697119,-1.0315496345403377,0.3023359979277282
105,sharing,sharing,NOUN,52,98,0.03473613894455578,0.030387596899224805,0.6357020145335819,0.42527145882539474,0.6252934905777483,0.42908696654595646,0.6003190087962047,0.5483224737189956
106,Sharing,sharing,NOUN,3,2,0.002004008016032064,0.00062015503875969,0.8116974341346661,0.3676188792166787,0.7521743315904899,0.38578869649023273,1.3605168077137426,0.1737314022807594
107,.,.,PUNCT,17631,38074,11.77755511022044,11.805891472868216,2.79131098154302,0.09477666163029563,2.7863984416376866,0.09506767392381009,-0.21371458357966244,0.8307788688165019
108,Some,some,DET,232,556,0.15497661990647962,0.1724031007751938,1.1979621337594721,0.2737293628267173,1.211013247782752,0.27113154357201175,-1.3144590675737668,0.18875563258271386
109,some,some,DET,1226,2589,0.8189712758851035,0.8027906976744186,1.1577893266226182,0.28192448686294935,1.152492586644442,0.28302797123909595,0.3931395876927735,0.6942341417156062
110,people,people,NOUN,3422,8087,2.2859051436205746,2.507596899224806,13.174473164829857,0.0002837885018495164,13.296802816011848,0.00026585908453661525,-2.7583736206762666,0.0058313491107187575
111,peoples,people,NOUN,23,32,0.015364061456245824,0.00992248062015504,2.3541400741242087,0.12495077059328821,2.247375612857777,0.133841220324866,1.3506638132251103,0.17686789789729251
112,say,say,VERB,113,153,0.07548430193720775,0.04744186046511628,14.904132617088111,0.00011311491806558052,14.152696551019716,0.0001685553396284403,3.4003418514026085,0.0006786001440628645
113,say,say,VERB,330,635,0.22044088176352705,0.19689922480620156,3.5930735853894924,0.05802083852309021,3.5377677503625264,0.05998614024633039,1.537611381695139,0.124210692445792
114,said,say,VERB,84,167,0.056112224448897796,0.05178294573643411,0.4449936124647231,0.5047220464977882,0.4401724150652129,0.5070392496950535,0.570767475810426,0.5681844438942392
115,says,say,VERB,27,25,0.018036072144288578,0.007751937984496124,9.33229667845155,0.0022514999037745688,8.626961114847937,0.0033122365974784123,3.037480141731905,0.002398693343302434
116,Saying,say,VERB,0,4,0.0,0.00124031007751938,0.6582803870950831,0.4171676884744542,0.7763084331337322,0.3782725352998175,-1.3631810536669053,0.1728904778981242
117,said,say,VERB,43,39,0.028724114896459586,0.012093023255813953,16.04435680413731,6.187576163902748e-05,14.800853889255066,0.00011948138868732865,3.762393851446239,0.00017033602284559138
118,saying,say,VERB,18,43,0.012024048096192385,0.013333333333333334,0.027573324764772877,0.8681158904989923,0.02773426543196056,0.8677350930626792,-0.36465915548456895,0.7153821877090276
119,who,who,PRON,889,2256,0.5938543754175016,0.6995348837209302,13.399837687049729,0.0002516460731278724,13.650453195289629,0.00022018816883535516,-2.951015431843279,0.0031828917392033454
120,Who,who,PRON,10,9,0.006680026720106881,0.0027906976744186047,3.084403187842597,0.07904625903319222,2.8582269337395214,0.09090765305494843,1.9648739701537554,0.0494873945641731
121,do,do,VERB,594,1401,0.3967935871743487,0.4344186046511628,2.1238743833327307,0.14501928402432315,2.1430815787828976,0.14321395894524475,-1.3843628960893095,0.16631280777901702
122,doing,do,VERB,188,364,0.12558450233800936,0.11286821705426357,1.8060612128523146,0.17898144765181484,1.779887790280256,0.1821631057479134,0.8079871713179586,0.4191386857302938
123,does,do,VERB,151,345,0.1008684034736139,0.10697674418604651,0.13651365257335407,0.711771811190699,0.13713208921125108,0.7111489152189866,-0.5398353437986088,0.5893360569450616
124,do,do,VERB,362,879,0.24181696726786908,0.2725581395348837,2.550713815393975,0.11024443652812549,2.5832240691310986,0.10800148143752104,-1.4424323149149483,0.14924680459675885
125,done,do,VERB,47,138,0.03139612558450234,0.04279069767441861,2.73395717712153,0.09823560737875156,2.835521152899105,0.09220088484375763,-1.610334167811032,0.10739179217122911
126,did,do,VERB,152,362,0.10153640614562458,0.11224806201550387,0.6461350765131724,0.42149788921656717,0.6525144958793447,0.4192151137151292,-0.751696038415642,0.4522713525881198
127,Doing,do,VERB,5,7,0.0033400133600534404,0.0021705426356589145,0.21349674175969588,0.6440403904831613,0.20679698570562,0.6492895614627459,0.7426093382484988,0.45775518822292016
128,Does,do,VERB,2,6,0.0013360053440213762,0.0018604651162790699,1.5190356449594964e-05,0.9968902681306456,1.5195915333549373e-05,0.9968896991851477,-0.4076869451804992,0.6835220130075927
129,that,that,DET,760,1315,0.5076820307281229,0.4077519379844961,26.931137281867734,2.1083473715264073e-07,26.197743038457304,3.0818251139010764e-07,4.1156778733381,3.926291913484531e-05
130,that,that,DET,643,1486,0.42952571810287243,0.4607751937984496,1.1706835724779332,0.27926082929348817,1.1782186086460698,0.2777189499924708,-1.0886735918219954,0.27635343401584644
